Name,GID,Source,Xa4,xa5,Xa7,xa13,Xa21,Pita,Pi9,Pi54,Pi35(t)
IR 103713-B-B RGA-B RGA-B RGA-384,300295062,IRRI,,R,,S,S,,S,S,
IR16A3500,4815728,IRRI,,R,,S,S,S,S,S,
IR 103713-B-B RGA-B RGA-B RGA-123,300294801,IRRI,,R,,S,R,R,S,S,
IR15A1798,4393263,IRRI,,S,,S,S,S,S,S,
IR 108007-B-B RGA-B RGA-26,300296624,IRRI,,S,,S,R,R,S,S,
IR 108000-B-B RGA-B RGA-159,300296905,IRRI,,R,,S,S,R,S,S,
IR16A2683,300431613,IRRI,,S,,S,S,R,S,S,
IR 103728-B-B-B-B-32,300234348,IRRI,,R,,S,S,R,S,S,
IR 103728-B-B-B-B-153,300234470,IRRI,,,,S,S,R,S,R,
IR 103728-B-B-B-B-151,300234468,IRRI,,,,S,S,,S,R,
IR 103713-B-B RGA-B RGA-B RGA-140,300294818,IRRI,,S,,S,R,R,S,S,
IR 106449-B-B RGA-B RGA-B RGA-273,300292228,IRRI,,S,,S,R,S,S,S,
GVT1-11-1-2-3-4-5,4812684,IRRI,,,,S,S,R,S,S,
IR 103733-B-B-B-B-60,300233157,IRRI,,S,,S,S,R,S,S,
IR15A3943,300253711,IRRI,,S,,S,S,R,S,S,
IR 103290-B-B-B-B-B-52,300233925,IRRI,,R,,S,S,R,S,S,
IR 106449-B-B RGA-B RGA-B RGA-492,300292447,IRRI,,R,,S,R,S,S,S,
IR 108000-B-B RGA-B RGA-131,300296877,IRRI,,R,,S,,R,S,S,
IR15F2096,300173710,IRRI,,R,,S,S,R,S,S,
IR 103297-B-B-B-B-B-15,300233497,IRRI,,S,,S,S,R,S,S,
IR 103290-B-B-B-B-B-30,300233903,IRRI,,R,,S,S,,S,S,
IR 106436-B-B RGA-B RGA-B RGA-297,300291732,IRRI,,R,,S,S,R,S,S,
GVT4-10-1-2-3-4,4812688,IRRI,,S,,S,S,R,,S,
IR15A3585,300173128,IRRI,,R,,S,R,R,S,S,
IR 106436-B-B RGA-B RGA-B RGA-104,300291539,IRRI,,R,,S,S,S,S,S,
IR 103713-B-B RGA-B RGA-B RGA-455,300295133,IRRI,,R,,S,S,R,S,S,
IR15A1704,4393211,IRRI,,S,,S,S,S,S,S,
IR15A3520,300172971,IRRI,,R,,S,S,R,S,S,
OWC 45,4812724,IRRI,,S,,S,S,R,S,S,
IR 106457-B-B-B-B-50,300233976,IRRI,,S,,S,S,R,S,S,
IR 103728-B-B-B-B-28,300234344,IRRI,,S,,S,S,S,S,S,
IR 106436-B-B RGA-B RGA-B RGA-315,300291750,IRRI,,S,,S,S,R,S,S,
IR15A3804,300174209,IRRI,,S,,S,S,S,S,S,
IR 103728-B-B-B-B-81,300234398,IRRI,,S,,S,S,R,S,S,
IR 100721-B-B-B-B-58-1-1,300255897,IRRI,,S,,S,S,R,S,R,
IR 103740-B-B RGA-B RGA-351,300295589,IRRI,,S,,S,S,R,S,S,
IR 103292-B-B-B-B-B-18,300233672,IRRI,,R,,S,S,R,S,S,
